gene_id	accession
ACON2_029174	XM_049611010.1
ACON2_029219	XM_040375931.2
ACON2_029232	XM_049606534.1
ACON2_029267	XM_040368683.2
ACON2_029279	XM_040380578.2
ACON2_029327	XM_049611033.1
ACON2_029340	XM_040370274.2
ACON2_029354	XM_049606232.1
ACON2_029366	XR_007452851.1
ACON2_029376	XM_040379675.2
ACON2_029426	XR_005751926.2
ACON2_029497	XM_040365492.2
ACON2_029509	XR_007452270.1
ACON2_029511	XM_040377429.2
ACON2_029517	XM_040372866.2
ACON2_029523	XM_040376708.2
ACON2_029558	XM_049608847.1
ACON2_029563	XM_049605621.1
ACON2_029586	XM_049606172.1
ACON2_029612	XM_040380816.2
ACON2_029633	XM_049607486.1
ACON2_029656	XM_040382502.2
ACON2_029693	XM_040378577.2
ACON2_029702	XM_049605619.1
ACON2_029727	XM_040368860.2
ACON2_029730	XM_040381176.2
ACON2_029733	XM_040378256.2
ACON2_029747	XM_040376033.2
ACON2_029763	XR_007452521.1
ACON2_029776	XM_040375413.2
ACON2_029804	XM_040373231.2
ACON2_029861	XR_007452836.1
ACON2_029887	XM_040378678.2
ACON2_029889	XM_040375666.2
ACON2_029903	XM_040364706.2
ACON2_029943	XM_040384726.2
ACON2_029970	XM_040382469.2
ACON2_029978	XM_040363906.2
ACON2_030018	XM_040366211.2
ACON2_030021	XR_007453321.1
ACON2_030044	XM_049608769.1
ACON2_030097	XM_040371764.2
ACON2_030103	XM_040365795.2
ACON2_030119	XM_049611014.1
ACON2_030152	XM_040376579.2
ACON2_030154	XM_040365945.2
ACON2_030192	XM_040377025.2
ACON2_030198	XM_040367811.2
ACON2_030220	XM_040382314.2
ACON2_030247	XM_049606417.1
ACON2_030250	XM_040376932.2
ACON2_030303	XM_040378017.2
ACON2_030321	XM_049606481.1
ACON2_030339	XM_040369138.2
ACON2_030362	XM_040369201.2
ACON2_030368	XM_040375911.2
ACON2_030396	XM_040377250.2
ACON2_030428	XM_049607537.1
ACON2_030463	XM_040364031.2
ACON2_030487	XM_040366113.2
ACON2_030492	XM_040374276.2
ACON2_030501	XM_040377918.2
ACON2_030525	XM_040367996.2
ACON2_030534	XM_040375978.2
