gene_id	accession	gene_name	description	function
ACON2_029174	XM_049611010.1	LOC125908317	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like
ACON2_029219	XM_040375931.2	LOC120955242	multiple epidermal growth factor-like domains protein 10	multiple epidermal growth factor-like domains protein 10|EB domain-containing protein
ACON2_029232	XM_049606534.1	LOC125906673	uncharacterized LOC125906673	uncharacterized protein LOC125906673
ACON2_029267	XM_040368683.2	LOC120950557	probable fatty acid-binding protein	probable fatty acid-binding protein|FABP domain-containing protein
ACON2_029279	XM_040380578.2	LOC120958040	uncharacterized LOC120958040	uncharacterized protein LOC120958040|MARVEL domain-containing protein
ACON2_029327	XM_049611033.1	LOC120961252	uncharacterized LOC120961252	uncharacterized protein LOC120961252
ACON2_029340	XM_040370274.2	LOC120951505	transmembrane protease serine 9-like	transmembrane protease serine 9-like|Peptidase S1 domain-containing protein
ACON2_029354	XM_049606232.1	LOC120955016	uncharacterized LOC120955016	uncharacterized protein LOC120955016
ACON2_029366	XR_007452851.1	LOC125907680	uncharacterized LOC125907680	
ACON2_029376	XM_040379675.2	LOC120957460	CD109 antigen	CD109 antigen|Thioester-containing protein 1|thioester protein 3
ACON2_029426	XR_005751926.2	LOC120957331	uncharacterized LOC120957331	
ACON2_029497	XM_040365492.2	LOC120948783	opsin-1-like	opsin-1-like|G_PROTEIN_RECEP_F1_2 domain-containing protein
ACON2_029509	XR_007452270.1	LOC120959347	uncharacterized LOC120959347	
ACON2_029511	XM_040377429.2	LOC120956049	cell cycle control protein 50A-like	cell cycle control protein 50A-like
ACON2_029517	XM_040372866.2	LOC120953149	heat shock 70 kDa protein cognate 4-like	heat shock 70 kDa protein cognate 4-like|Heat shock protein 70
ACON2_029523	XM_040376708.2	Cdk1	Cyclin-dependent kinase 1	cyclin-dependent kinase 1|Protein kinase domain-containing protein
ACON2_029558	XM_049608847.1	LOC120954633	zinc finger protein 425-like	zinc finger protein 425-like
ACON2_029563	XM_049605621.1	LOC120950585	uncharacterized LOC120950585	uncharacterized protein LOC120950585|GTP-binding protein RAD
ACON2_029586	XM_049606172.1	LOC125906592	uncharacterized protein K02A2.6-like	uncharacterized protein K02A2.6-like
ACON2_029612	XM_040380816.2	LOC120958190	proton-coupled amino acid transporter-like protein CG1139	proton-coupled amino acid transporter-like protein CG1139
ACON2_029633	XM_049607486.1	LOC125906840	uncharacterized LOC125906840	uncharacterized protein LOC125906840
ACON2_029656	XM_040382502.2	BicC	protein bicaudal C	protein bicaudal C|SAM domain-containing protein
ACON2_029693	XM_040378577.2	LOC120956821	chromosome-associated kinesin KIF4A-like	chromosome-associated kinesin KIF4A-like
ACON2_029702	XM_049605619.1	LOC120950763	uncharacterized LOC120950763	uncharacterized protein LOC120950763
ACON2_029727	XM_040368860.2	LOC120950642	uncharacterized LOC120950642	uncharacterized protein LOC120950642
ACON2_029730	XM_040381176.2	LOC120958401	secreted protein C	secreted protein C
ACON2_029733	XM_040378256.2	Reph	Regulator of eph expression	protein disconnected|uncharacterized protein LOC120956627
ACON2_029747	XM_040376033.2	LUBEL	Linear Ubiquitin E3 ligase	E3 ubiquitin-protein ligase lubel
ACON2_029763	XR_007452521.1	LOC125907236	uncharacterized LOC125907236	
ACON2_029776	XM_040375413.2	mnd	L-type amino acid transporter minidiscs	Y+L amino acid transporter 2|Large neutral amino acids transporter small subunit 1|large neutral amino acids transporter small subunit 2
ACON2_029804	XM_040373231.2	LOC120953363	polyubiquitin-C-like	polyubiquitin-C-like
